artists,duration_ms_x,explicit,id_x,name,popularity,search_query,acousticness,analysis_url,danceability,duration_ms_y,energy,id_y,instrumentalness,key_x,liveness,loudness_x,mode_x,speechiness,tempo_x,time_signature_x,track_href,type,uri,valence,analysis_channels,analysis_sample_rate,duration,end_of_fade_in,id,key_y,key_confidence,loudness_y,mode_y,mode_confidence,num_samples,offset_seconds,sample_md5,start_of_fade_out,tempo_y,tempo_confidence,time_signature_y,time_signature_confidence,window_seconds
"2 Chainz, Travis Scott",255560,True,1nX9KhK3Fff27SnrIor2Yb,4 AM,72,2 chainz 4 am,0.118,https://api.spotify.com/v1/audio-analysis/1nX9KhK3Fff27SnrIor2Yb,0.796,255560,0.5,1nX9KhK3Fff27SnrIor2Yb,0.0,1,0.155,-7.21,1,0.425,75.012,4,https://api.spotify.com/v1/tracks/1nX9KhK3Fff27SnrIor2Yb,audio_features,spotify:track:1nX9KhK3Fff27SnrIor2Yb,0.227,1,22050,255.56,0.0,1nX9KhK3Fff27SnrIor2Yb,1,0.271,-7.21,1,0.516,5635098,0,,252.70857,75.012,0.58,4,1.0,0
"2 Chainz, Ty Dolla $ign, Trey Songz, Jhene Aiko",210200,True,6H0AwSQ20mo62jGlPGB8S6,It's A Vibe,76,2 chainz it's a vibe,0.0317,https://api.spotify.com/v1/audio-analysis/6H0AwSQ20mo62jGlPGB8S6,0.822,210200,0.505,6H0AwSQ20mo62jGlPGB8S6,0.000911,7,0.114,-7.384,1,0.147,73.003,4,https://api.spotify.com/v1/tracks/6H0AwSQ20mo62jGlPGB8S6,audio_features,spotify:track:6H0AwSQ20mo62jGlPGB8S6,0.523,1,22050,210.2,0.0,6H0AwSQ20mo62jGlPGB8S6,7,0.281,-7.384,1,0.436,4634910,0,,198.87891,73.003,0.297,4,1.0,0
"2 Chainz, YG, Offset",234666,True,365wwIjijQdlRJEjUWTidq,PROUD,61,2 chainz proud,0.738,https://api.spotify.com/v1/audio-analysis/365wwIjijQdlRJEjUWTidq,0.781,234667,0.81,365wwIjijQdlRJEjUWTidq,0.0,10,0.144,-4.301,0,0.356,173.949,4,https://api.spotify.com/v1/tracks/365wwIjijQdlRJEjUWTidq,audio_features,spotify:track:365wwIjijQdlRJEjUWTidq,0.908,1,22050,234.66667,0.08689,365wwIjijQdlRJEjUWTidq,10,0.353,-4.301,0,0.499,5174400,0,,230.01687,173.949,0.578,4,1.0,0
"2 Chainz, Drake, Quavo",225893,True,5S1IUPueD0xE0vj4zU3nSf,Bigger Than You (feat. Drake & Quavo),75,"2 chainz, drake bigger > you",0.247,https://api.spotify.com/v1/audio-analysis/5S1IUPueD0xE0vj4zU3nSf,0.888,225893,0.515,5S1IUPueD0xE0vj4zU3nSf,0.0,1,0.446,-6.246,1,0.271,141.009,4,https://api.spotify.com/v1/tracks/5S1IUPueD0xE0vj4zU3nSf,audio_features,spotify:track:5S1IUPueD0xE0vj4zU3nSf,0.264,1,22050,225.89333,2.51356,5S1IUPueD0xE0vj4zU3nSf,1,0.802,-6.246,1,0.7,4980948,0,,221.88408,141.009,0.753,4,0.971,0
21 Savage,220306,True,2fQrGHiQOvpL9UgPvtYy6G,Bank Account,83,21 savage bank account,0.0151,https://api.spotify.com/v1/audio-analysis/2fQrGHiQOvpL9UgPvtYy6G,0.884,220307,0.346,2fQrGHiQOvpL9UgPvtYy6G,7.04e-06,8,0.0871,-8.228,0,0.351,75.016,4,https://api.spotify.com/v1/tracks/2fQrGHiQOvpL9UgPvtYy6G,audio_features,spotify:track:2fQrGHiQOvpL9UgPvtYy6G,0.376,1,22050,220.30667,0.18658,2fQrGHiQOvpL9UgPvtYy6G,8,0.393,-8.228,0,0.57,4857762,0,,216.70603,75.016,0.841,4,1.0,0
21 Savage,234280,True,6g0TAJ1grweRwBMLQyiZFb,Famous,59,21 savage famous,0.723,https://api.spotify.com/v1/audio-analysis/6g0TAJ1grweRwBMLQyiZFb,0.779,234280,0.597,6g0TAJ1grweRwBMLQyiZFb,4.47e-05,9,0.0508,-9.652,0,0.434,173.986,4,https://api.spotify.com/v1/tracks/6g0TAJ1grweRwBMLQyiZFb,audio_features,spotify:track:6g0TAJ1grweRwBMLQyiZFb,0.646,1,22050,234.28,0.11846,6g0TAJ1grweRwBMLQyiZFb,9,0.672,-9.652,0,0.496,5165874,0,,208.79383,173.986,0.337,4,1.0,0
"21 Savage, Metro Boomin",235040,True,4gmmRb6bZJffOOiww1JGTO,No Heart,73,21 savage no heart,0.136,https://api.spotify.com/v1/audio-analysis/4gmmRb6bZJffOOiww1JGTO,0.906,235040,0.444,4gmmRb6bZJffOOiww1JGTO,6.44e-05,4,0.173,-8.692,0,0.384,140.063,4,https://api.spotify.com/v1/tracks/4gmmRb6bZJffOOiww1JGTO,audio_features,spotify:track:4gmmRb6bZJffOOiww1JGTO,0.678,1,22050,235.04,0.44122,4gmmRb6bZJffOOiww1JGTO,4,0.56,-8.692,0,0.43,5182632,0,,218.56943,140.063,0.83,4,1.0,0
"21 Savage, Metro Boomin, Future",258880,True,6fwdbPMwP1zVStm8FybmkO,X (feat. Future),75,21 savage x,0.373,https://api.spotify.com/v1/audio-analysis/6fwdbPMwP1zVStm8FybmkO,0.835,258880,0.413,6fwdbPMwP1zVStm8FybmkO,0.00133,1,0.101,-9.81,1,0.396,149.004,4,https://api.spotify.com/v1/tracks/6fwdbPMwP1zVStm8FybmkO,audio_features,spotify:track:6fwdbPMwP1zVStm8FybmkO,0.111,1,22050,258.88,0.32508,6fwdbPMwP1zVStm8FybmkO,1,0.912,-9.81,1,0.664,5708304,0,,258.88,149.004,0.526,4,0.989,0
"21 Savage, Offset, Metro Boomin, Travis Scott",268933,True,5u6vkDnOyaf8LsteDAj2ub,Ghostface Killers,75,"21 savage, offset ghostface killers",0.331,https://api.spotify.com/v1/audio-analysis/5u6vkDnOyaf8LsteDAj2ub,0.782,268933,0.436,5u6vkDnOyaf8LsteDAj2ub,1.3e-05,2,0.342,-7.033,1,0.155,82.994,4,https://api.spotify.com/v1/tracks/5u6vkDnOyaf8LsteDAj2ub,audio_features,spotify:track:5u6vkDnOyaf8LsteDAj2ub,0.243,1,22050,268.93333,0.0,5u6vkDnOyaf8LsteDAj2ub,2,1.0,-7.033,1,0.813,5929980,0,,265.20091,82.994,0.013,4,1.0,0
"21 Savage, Offset, Metro Boomin",202666,True,6HR1z11h0ROUlWP4Kx8Z7G,Mad Stalkers,65,"21 savage, offset mad stalkers",0.147,https://api.spotify.com/v1/audio-analysis/6HR1z11h0ROUlWP4Kx8Z7G,0.9,202667,0.365,6HR1z11h0ROUlWP4Kx8Z7G,0.185,10,0.179,-6.395,0,0.235,135.003,4,https://api.spotify.com/v1/tracks/6HR1z11h0ROUlWP4Kx8Z7G,audio_features,spotify:track:6HR1z11h0ROUlWP4Kx8Z7G,0.136,1,22050,202.66667,0.0,6HR1z11h0ROUlWP4Kx8Z7G,10,0.251,-6.395,0,0.419,4468800,0,,196.1912,135.003,0.729,4,0.989,0
"21 Savage, Offset, Metro Boomin, Quavo",257600,True,0tdCy39PgWN8LFWu34ORn3,Rap Saved Me,70,"21 savage, offset rap saved me",0.00525,https://api.spotify.com/v1/audio-analysis/0tdCy39PgWN8LFWu34ORn3,0.845,257600,0.399,0tdCy39PgWN8LFWu34ORn3,0.74,1,0.102,-7.509,1,0.309,143.049,4,https://api.spotify.com/v1/tracks/0tdCy39PgWN8LFWu34ORn3,audio_features,spotify:track:0tdCy39PgWN8LFWu34ORn3,0.148,1,22050,257.6,0.0,0tdCy39PgWN8LFWu34ORn3,1,1.0,-7.509,1,0.698,5680080,0,,251.97134,143.049,0.669,4,1.0,0
5 Seconds of Summer,173081,True,2vHfabj6nFebekTYODqntl,Want You Back,73,5 seconds of summer want you back,0.00699,https://api.spotify.com/v1/audio-analysis/2vHfabj6nFebekTYODqntl,0.618,173082,0.867,2vHfabj6nFebekTYODqntl,1.03e-06,0,0.202,-4.915,1,0.0439,98.03,4,https://api.spotify.com/v1/tracks/2vHfabj6nFebekTYODqntl,audio_features,spotify:track:2vHfabj6nFebekTYODqntl,0.579,1,22050,173.0815,0.24961,2vHfabj6nFebekTYODqntl,0,0.727,-4.915,1,0.64,3816447,0,,167.41007,98.03,0.166,4,1.0,0
5 Seconds of Summer,203417,False,2iUXsYOEPhVqEBwsqP70rE,Youngblood,86,5 seconds of summer youngblood,0.0169,https://api.spotify.com/v1/audio-analysis/2iUXsYOEPhVqEBwsqP70rE,0.596,203418,0.854,2iUXsYOEPhVqEBwsqP70rE,0.0,7,0.124,-5.114,0,0.463,120.274,4,https://api.spotify.com/v1/tracks/2iUXsYOEPhVqEBwsqP70rE,audio_features,spotify:track:2iUXsYOEPhVqEBwsqP70rE,0.152,1,22050,203.41787,0.238,2iUXsYOEPhVqEBwsqP70rE,7,0.278,-5.114,0,0.317,4485364,0,,200.55075,120.274,0.656,4,0.977,0
6LACK,246773,True,4AtZRwSR8BOTTQg5ihSggt,PRBLMS,76,6lack prblms,0.0307,https://api.spotify.com/v1/audio-analysis/4AtZRwSR8BOTTQg5ihSggt,0.417,246773,0.58,4AtZRwSR8BOTTQg5ihSggt,1.45e-06,9,0.179,-4.574,1,0.207,68.58,5,https://api.spotify.com/v1/tracks/4AtZRwSR8BOTTQg5ihSggt,audio_features,spotify:track:4AtZRwSR8BOTTQg5ihSggt,0.139,1,22050,246.77333,0.0,4AtZRwSR8BOTTQg5ihSggt,9,0.622,-4.574,1,0.517,5441352,0,,241.90549,68.58,0.182,5,0.831,0
6ix9ine,112666,True,5KhFaq45chTw8RGfWo8T8J,BILLY,77,6ix9ine billy,0.175,https://api.spotify.com/v1/audio-analysis/5KhFaq45chTw8RGfWo8T8J,0.764,112667,0.711,5KhFaq45chTw8RGfWo8T8J,0.0,4,0.105,-3.818,0,0.288,90.076,4,https://api.spotify.com/v1/tracks/5KhFaq45chTw8RGfWo8T8J,audio_features,spotify:track:5KhFaq45chTw8RGfWo8T8J,0.774,1,22050,112.66667,0.61506,5KhFaq45chTw8RGfWo8T8J,4,0.439,-3.818,0,0.41,2484300,0,,107.8741,90.076,0.0,4,0.956,0
