artists,duration_ms,explicit,id,name,release_date,search_query
"2 Chainz, Travis Scott",255560.0,True,1nX9KhK3Fff27SnrIor2Yb,4 AM,2017-06-16,2 chainz 4 am
"2 Chainz, Ty Dolla $ign, Trey Songz, Jhene Aiko",210200.0,True,6H0AwSQ20mo62jGlPGB8S6,It's A Vibe,2017-06-16,2 chainz it's a vibe
"2 Chainz, YG, Offset",234666.0,True,365wwIjijQdlRJEjUWTidq,PROUD,2018-02-08,2 chainz proud
"2 Chainz, Drake, Quavo",225893.0,True,5S1IUPueD0xE0vj4zU3nSf,Bigger Than You (feat. Drake & Quavo),2018-06-15,"2 chainz, drake bigger > you"
21 Savage,220306.0,True,2fQrGHiQOvpL9UgPvtYy6G,Bank Account,2017-09-23,21 savage bank account
21 Savage,234280.0,True,6g0TAJ1grweRwBMLQyiZFb,Famous,2017-09-23,21 savage famous
"21 Savage, Metro Boomin",235040.0,True,4gmmRb6bZJffOOiww1JGTO,No Heart,2016-07-15,21 savage no heart
"21 Savage, Metro Boomin, Future",258880.0,True,6fwdbPMwP1zVStm8FybmkO,X (feat. Future),2016-07-15,21 savage x
"21 Savage, Offset, Metro Boomin, Travis Scott",268933.0,True,5u6vkDnOyaf8LsteDAj2ub,Ghostface Killers,2017-10-30,"21 savage, offset ghostface killers"
"21 Savage, Offset, Metro Boomin",202666.0,True,6HR1z11h0ROUlWP4Kx8Z7G,Mad Stalkers,2017-10-30,"21 savage, offset mad stalkers"
"21 Savage, Offset, Metro Boomin, Quavo",257600.0,True,0tdCy39PgWN8LFWu34ORn3,Rap Saved Me,2017-10-30,"21 savage, offset rap saved me"
5 Seconds of Summer,173081.0,True,2vHfabj6nFebekTYODqntl,Want You Back,2018-06-15,5 seconds of summer want you back
5 Seconds of Summer,203417.0,False,2iUXsYOEPhVqEBwsqP70rE,Youngblood,2018-06-15,5 seconds of summer youngblood
6LACK,246773.0,True,4AtZRwSR8BOTTQg5ihSggt,PRBLMS,2016-11-18,6lack prblms
6ix9ine,112666.0,True,5KhFaq45chTw8RGfWo8T8J,BILLY,2018-04-10,6ix9ine billy
6ix9ine,166851.0,True,27oFpFktCq9JIXjJQRuv7a,GOTTI,2018-04-10,6ix9ine gotti
6ix9ine,157643.0,True,4HbiCvH1R7mVOJ7KY7JQBD,GUMMO,2018-04-10,6ix9ine gummo
6ix9ine,142582.0,True,0tYHqwTW4s6VuPWDSD7n7K,KOODA,2018-04-10,6ix9ine kooda
"6ix9ine, Tory Lanez, Young Thug",138473.0,True,3p6JF5nt0bZOSgZRONNZp0,RONDO,2018-04-10,6ix9ine rondo
"6ix9ine, DJ SpinKing",154565.0,True,6wJrqTE6c4NtfDqAcSRcBf,TATI (feat. DJ SpinKing),2018-11-27,6ix9ine tati
"6ix9ine, Fetty Wap, A Boogie Wit da Hoodie",151914.0,True,14PlDNjNh3pXyHXzkhX8n5,KEKE,2018-04-10,"6ix9ine, fetty wap keke"
"A Boogie Wit da Hoodie, PnB Rock, YoungBoy Never Broke Again",258158.0,True,1AH60dMaEfNjzDoUIFwIQi,Beast Mode (feat. PnB Rock & YoungBoy Never Broke Again),2017-09-29,a boogie wit da hoodie beast mode
"A Boogie Wit da Hoodie, Kodak Black",209269.0,True,1f5cbQtDrykjarZVrShaDI,Drowning (feat. Kodak Black),2017-09-29,a boogie wit da hoodie drowning
A Boogie Wit da Hoodie,197666.0,True,2BJpuAoDeQ1QuPvnryfAWK,No Promises,2017-09-29,a boogie wit da hoodie no promises
A Boogie Wit da Hoodie,214853.0,True,3AMnOVxEHUgVrythGgqPhI,Say A',2017-09-29,a boogie wit da hoodie say a'
"A Boogie Wit da Hoodie, 21 Savage",174012.0,True,2vaMWMPMgsWX4fwJiKmdWm,Undefeated (feat. 21 Savage),2017-09-29,a boogie wit da hoodie undefeated
A$AP Ferg,173600.0,True,4dVpf9jZjcORqGTLUaeYj9,Plain Jane,2017-08-18,a$ap ferg plain jane
