Artist,Song,num_weeks
2 Chainz,4 AM,12
2 Chainz,It's A Vibe,20
2 Chainz,Proud,2
2 Chainz x Gucci Mane x Quavo,Good Drank,15
"2 Chainz, Drake",Bigger > You,2
21 Savage,Bank Account,28
21 Savage,Famous,1
21 Savage,My Choppa Hate N****s,2
21 Savage,No Heart,5
21 Savage,X,1
"21 Savage, Offset",Ghostface Killers,7
"21 Savage, Offset",Mad Stalkers,1
"21 Savage, Offset",Rap Saved Me,3
5 Seconds Of Summer,Want You Back,1
5 Seconds Of Summer,Youngblood,5
6LACK,Prblms,8
6ix9ine,Billy,8
6ix9ine,Gotti,1
6ix9ine,Gummo,19
6ix9ine,Kooda,8
6ix9ine,Rondo,1
6ix9ine,TATI,5
"6ix9ine, Fetty Wap",Keke,8
A Boogie Wit da Hoodie,Beast Mode,1
A Boogie Wit da Hoodie,Drowning,21
A Boogie Wit da Hoodie,No Promises,2
A Boogie Wit da Hoodie,Say A',2
A Boogie Wit da Hoodie,Undefeated,1
A$AP Ferg,Plain Jane,24
A$AP Rocky,A$AP Forever,2
A$AP Rocky,Praise The Lord (Da Shine),5
AJR,Weak,11
Addison Agen,Tennessee Rain,1
Adele,Water Under The Bridge,10
Alessia Cara,Growing Pains,1
Alessia Cara,How Far I'll Go,11
Alessia Cara,Scars To Your Beautiful,21
Alice Merton,No Roots,3
Amine,Caroline,7
Andy Grammer,Fresh Eyes,1
Andy Williams,It's The Most Wonderful Time Of The Year,3
Ariana Grande,Beauty And The Beast,1
Ariana Grande,Everyday,7
Ariana Grande,No Tears Left To Cry,11
Ariana Grande,Side To Side,6
Ariana Grande,The Light Is Coming,1
Auli'i Cravalho,How Far I'll Go,11
Avicii,Wake Me Up!,1
Ayo,Rolex,25
BLACKPINK,DDU-DU DDU-DU,1
BTS,DNA,4
BTS,Fake Love,6
BTS,MIC Drop,9
Backstreet Boys,Don't Go Breaking My Heart,2
Bad Wolves,Zombie,17
Bazzi,Mine,24
Bebe Rexha,I Got You,7
Bebe Rexha,Meant To Be,36
Becky G,Mayores,17
Becky G + Natti Natasha,Sin Pijama,4
Bhad Bhabie,Gucci Flip Flops,3
Bhad Bhabie,Hi Bich,1
Bhad Bhabie,These Heaux,3
Big Sean,Bounce Back,16
Big Sean,Go Legend,1
Big Sean,Halfway Off The Balcony,1
Big Sean,Jump Out The Window,1
Big Sean,Light,1
Big Sean,Moves,14
Big Sean,No Favors,3
Big Sean,Owe Me,1
Big Sean,Pull Up N Wreck,2
Big Sean,Sacrifices,1
Billie Eilish,Lovely,5
Billy Currington,Do I Make You Wanna,19
Blac Youngsta,Booty,5
Blackbear,Do Re Mi,25
Blake Shelton,A Guy With A Girl,6
Blake Shelton,Every Time I Hear That Song,11
Blake Shelton,I Lived It,18
Blake Shelton,I'll Name The Dogs,19
BlocBoy JB,Look Alive,21
Bobby Helms,Jingle Bell Rock,1
Brad Paisley,Today,7
Brantley Gilbert,The Weekend,16
Brenda Lee,Rockin' Around The Christmas Tree,3
Brett Eldredge,The Long Way,12
Brett Eldredge,Wanna Be That Song,3
Brett Young,In Case You Didn't Know,28
Brett Young,Like I Loved You,19
Brett Young,Mercy,9
Brothers Osborne,It Ain't My Fault,16
Bruno Mars,24K Magic,25
Bruno Mars,Finesse,23
Bruno Mars,That's What I Like,49
Bruno Mars,Versace On The Floor,12
Bryson Tiller,Don't Get Too High,1
Bryson Tiller,No Longer Friends,1
Bryson Tiller,Run Me Dry,1
Bryson Tiller,Self-Made,1
Bryson Tiller,Somethin Tells Me,1
Burl Ives,A Holly Jolly Christmas,3
Calum Scott,Dancing On My Own,1
