artists,duration_ms,explicit,id,name,popularity,modified_query,search_query,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,uri,valence,analysis_channels,analysis_sample_rate,duration,end_of_fade_in,key_confidence,mode_confidence,num_samples,offset_seconds,start_of_fade_out,tempo_confidence,time_signature_confidence,window_seconds
,,,,,,quavo good drank,2 chainz x gucci mane x quavo good drank,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21 savage my choppa,21 savage my choppa hate n****s,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,becky g pijama,becky g + natti natasha sin pijama,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,brett wanna be that song,brett eldredge wanna be that song,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,jayz caught their eyes,jay-z caught their eyes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,jayz family fued,jay-z family feud,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,jayz marcy me,jay-z marcy me,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,jayz moonlight,jay-z moonlight,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,jayz smile,jay-z smile,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,dej loaf at the club,jacquees x dej loaf at the club,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kygo it aint me,kygo x selena gomez it ain't me,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,corazon,maluma x nego do borel corazon,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,martin garrix there for you,martin garrix x troye sivan there for you,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,nas kanye cops,nas cop shot the kid,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,cardi b la modelo,ozuna x cardi b la modelo,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,too hotty,"quavo, takeoff too hotty",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,selena gomez wolves,selena gomez x marshmello wolves,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,xxxtentacion fuck love,xxxtentacion f**k love,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,xxxtentacion why am I so in love,xxxtentacion the remedy for a broke heart (why am i so in love),,,,,,,,,,,,,,,,,,,,,,,,,
