artists,duration_ms,explicit,id,modified_query,name,popularity
"2 Chainz, Gucci Mane, Quavo",222706.0,True,39pS70eeDvyCAF3t8NAlVV,quavo good drank,Good Drank,65.0
"21 Savage, Metro Boomin",148640.0,True,2D2w9943rsnJOGCrI4aMQp,21 savage my choppa,My Choppa Hate Niggas,67.0
Marillo,191555.0,False,6ItVmJiq8rDwBKq026zSa3,becky g pijama,Como Becky G Sin Pijama,0.0
,,,,brett wanna be that song,,
,,,,jayz caught their eyes,,
,,,,jayz family fued,,
,,,,jayz marcy me,,
,,,,jayz moonlight,,
,,,,jayz smile,,
"Jacquees, DeJ Loaf",173053.0,False,0NqZ65jPelNB13gzsvH2Ma,dej loaf at the club,At The Club,67.0
"Kygo, Selena Gomez",216586.0,False,677RjvAT2lpYjo1Whczjzx,kygo it aint me,It Ain't Me,50.0
Prince Royce,211453.0,False,0u4N6w5lBw5xMrzJitRWUo,corazon,Corazon Sin Cara,68.0
"Martin Garrix, Troye Sivan",221904.0,False,6jA8HL9i4QGzsj6fjoxp8Y,martin garrix there for you,There for You,77.0
"Nas, Kanye West",167907.0,True,1vi9adPJiD4d22ybGp25hy,nas kanye cops,Cops Shot The Kid,57.0
"Ozuna, Cardi B",255506.0,False,2SbzdGpOKlH3HIAGTWTbwU,cardi b la modelo,La Modelo,76.0
"Quality Control, Migos, Eurielle",295997.0,True,3hWUIMNBwLNug1O8o2PPRW,too hotty,Too Hotty,65.0
"Selena Gomez, Marshmello",197993.0,False,0tBbt8CrmxbjRP0pueQkyU,selena gomez wolves,Wolves,85.0
"XXXTENTACION, Trippie Redd",146520.0,True,7AQim7LbvFVZJE3O8TYgf2,xxxtentacion fuck love,Fuck Love (feat. Trippie Redd),85.0
XXXTENTACION,160184.0,True,4UKCKdYiLN6IMA5ZESUTL7,xxxtentacion why am I so in love,the remedy for a broken heart (why am I so in love),82.0
