artists,duration_ms,explicit,id,key,modified_query,name,num_weeks,popularity,release_date,search_query,uri
,255560.0,True,,"2 Chainz, Travis Scott",,4 AM,12,,2017-06-16,2 chainz 4 am,spotify:track:1nX9KhK3Fff27SnrIor2Yb
,210200.0,True,,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhene Aiko",,It's A Vibe,20,,2017-06-16,2 chainz it's a vibe,spotify:track:6H0AwSQ20mo62jGlPGB8S6
,234666.0,True,,"2 Chainz, YG, Offset",,PROUD,2,,2018-02-08,2 chainz proud,spotify:track:365wwIjijQdlRJEjUWTidq
,225893.0,True,,"2 Chainz, Drake, Quavo",,Bigger Than You (feat. Drake & Quavo),2,,2018-06-15,"2 chainz, drake bigger > you",spotify:track:5S1IUPueD0xE0vj4zU3nSf
,220306.0,True,,21 Savage,,Bank Account,28,,2017-09-23,21 savage bank account,spotify:track:2fQrGHiQOvpL9UgPvtYy6G
,234280.0,True,,21 Savage,,Famous,1,,2017-09-23,21 savage famous,spotify:track:6g0TAJ1grweRwBMLQyiZFb
,235040.0,True,,"21 Savage, Metro Boomin",,No Heart,5,,2016-07-15,21 savage no heart,spotify:track:4gmmRb6bZJffOOiww1JGTO
,258880.0,True,,"21 Savage, Metro Boomin, Future",,X (feat. Future),1,,2016-07-15,21 savage x,spotify:track:6fwdbPMwP1zVStm8FybmkO
,268933.0,True,,"21 Savage, Offset, Metro Boomin, Travis Scott",,Ghostface Killers,7,,2017-10-30,"21 savage, offset ghostface killers",spotify:track:5u6vkDnOyaf8LsteDAj2ub
,202666.0,True,,"21 Savage, Offset, Metro Boomin",,Mad Stalkers,1,,2017-10-30,"21 savage, offset mad stalkers",spotify:track:6HR1z11h0ROUlWP4Kx8Z7G
,257600.0,True,,"21 Savage, Offset, Metro Boomin, Quavo",,Rap Saved Me,3,,2017-10-30,"21 savage, offset rap saved me",spotify:track:0tdCy39PgWN8LFWu34ORn3
,173081.0,True,,5 Seconds of Summer,,Want You Back,1,,2018-06-15,5 seconds of summer want you back,spotify:track:2vHfabj6nFebekTYODqntl
,203417.0,False,,5 Seconds of Summer,,Youngblood,5,,2018-06-15,5 seconds of summer youngblood,spotify:track:2iUXsYOEPhVqEBwsqP70rE
,246773.0,True,,6LACK,,PRBLMS,8,,2016-11-18,6lack prblms,spotify:track:4AtZRwSR8BOTTQg5ihSggt
,112666.0,True,,6ix9ine,,BILLY,8,,2018-04-10,6ix9ine billy,spotify:track:5KhFaq45chTw8RGfWo8T8J
,166851.0,True,,6ix9ine,,GOTTI,1,,2018-04-10,6ix9ine gotti,spotify:track:27oFpFktCq9JIXjJQRuv7a
,157643.0,True,,6ix9ine,,GUMMO,19,,2018-04-10,6ix9ine gummo,spotify:track:4HbiCvH1R7mVOJ7KY7JQBD
,142582.0,True,,6ix9ine,,KOODA,8,,2018-04-10,6ix9ine kooda,spotify:track:0tYHqwTW4s6VuPWDSD7n7K
,138473.0,True,,"6ix9ine, Tory Lanez, Young Thug",,RONDO,1,,2018-04-10,6ix9ine rondo,spotify:track:3p6JF5nt0bZOSgZRONNZp0
,154565.0,True,,"6ix9ine, DJ SpinKing",,TATI (feat. DJ SpinKing),5,,2018-11-27,6ix9ine tati,spotify:track:6wJrqTE6c4NtfDqAcSRcBf
,151914.0,True,,"6ix9ine, Fetty Wap, A Boogie Wit da Hoodie",,KEKE,8,,2018-04-10,"6ix9ine, fetty wap keke",spotify:track:14PlDNjNh3pXyHXzkhX8n5
,258158.0,True,,"A Boogie Wit da Hoodie, PnB Rock, YoungBoy Never Broke Again",,Beast Mode (feat. PnB Rock & YoungBoy Never Broke Again),1,,2017-09-29,a boogie wit da hoodie beast mode,spotify:track:1AH60dMaEfNjzDoUIFwIQi
,209269.0,True,,"A Boogie Wit da Hoodie, Kodak Black",,Drowning (feat. Kodak Black),21,,2017-09-29,a boogie wit da hoodie drowning,spotify:track:1f5cbQtDrykjarZVrShaDI
,197666.0,True,,A Boogie Wit da Hoodie,,No Promises,2,,2017-09-29,a boogie wit da hoodie no promises,spotify:track:2BJpuAoDeQ1QuPvnryfAWK
,214853.0,True,,A Boogie Wit da Hoodie,,Say A',2,,2017-09-29,a boogie wit da hoodie say a',spotify:track:3AMnOVxEHUgVrythGgqPhI
